seq,stamp,id,own_id,x,y,z,distance
0,1758722392.155860690,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.175837570,31,170,520.506,-391.827,2505.69,2589,
0,1758722392.195859760,31,170,516.687,-388.952,2487.3,2570,
0,1758722392.215851367,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.235858335,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.255866157,31,170,511.862,-385.319,2464.07,2546,
0,1758722392.275837879,31,170,511.862,-385.319,2464.07,2546,
0,1758722392.295833836,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.315861070,31,170,518.496,-390.314,2496.01,2579,
0,1758722392.335960337,31,170,511.862,-385.319,2464.07,2546,
0,1758722392.355869802,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.375880656,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.395840244,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.415862248,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.435983002,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.455886675,31,170,515.681,-388.195,2482.46,2565,
0,1758722392.475784825,31,170,511.862,-385.319,2464.07,2546,
0,1758722392.495812531,31,170,515.681,-388.195,2482.46,2565,
0,1758722392.515856428,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.535973059,31,170,511.057,-384.714,2460.2,2542,
0,1758722392.555869825,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.575817417,31,170,511.057,-384.714,2460.2,2542,
0,1758722392.595803081,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.615875533,31,170,518.496,-390.314,2496.01,2579,
0,1758722392.635914428,31,170,517.692,-389.708,2492.14,2575,
0,1758722392.655800046,31,170,518.496,-390.314,2496.01,2579,
0,1758722392.675874551,31,170,518.496,-390.314,2496.01,2579,
0,1758722392.695784379,31,170,515.681,-388.195,2482.46,2565,
0,1758722392.715801297,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.735753793,31,170,511.057,-384.714,2460.2,2542,
0,1758722392.755758766,31,170,516.687,-388.952,2487.3,2570,
0,1758722392.775804944,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.795720787,31,170,519.501,-391.07,2500.85,2584,
0,1758722392.815916983,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.835779549,31,170,515.681,-388.195,2482.46,2565,
0,1758722392.855791311,31,170,516.687,-388.952,2487.3,2570,
0,1758722392.875956689,31,170,513.872,-386.833,2473.75,2556,
0,1758722392.895786537,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.915798240,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.935785916,31,170,514.676,-387.438,2477.62,2560,
0,1758722392.955803217,31,170,512.867,-386.076,2468.91,2551,
0,1758722392.975749358,31,170,510.052,-383.957,2455.36,2537,
0,1758722392.995768581,31,170,517.692,-389.708,2492.14,2575,
0,1758722393.15800777,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.35747887,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.55879812,31,170,509.047,-383.201,2450.52,2532,
0,1758722393.75720239,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.95725117,31,170,518.496,-390.314,2496.01,2579,
0,1758722393.115850127,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.135939113,31,170,512.867,-386.076,2468.91,2551,
0,1758722393.155934143,31,170,515.681,-388.195,2482.46,2565,
0,1758722393.176427853,31,170,512.867,-386.076,2468.91,2551,
0,1758722393.195931534,31,170,512.867,-386.076,2468.91,2551,
0,1758722393.215979800,31,170,511.862,-385.319,2464.07,2546,
0,1758722393.235895266,31,170,517.692,-389.708,2492.14,2575,
0,1758722393.255819633,31,170,512.867,-386.076,2468.91,2551,
0,1758722393.275837267,31,170,511.862,-385.319,2464.07,2546,
0,1758722393.295753302,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.315848535,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.335878963,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.355799202,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.375933346,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.395845101,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.415850024,31,170,518.496,-390.314,2496.01,2579,
0,1758722393.435773714,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.455907183,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.475888711,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.495805648,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.515803943,31,170,511.862,-385.319,2464.07,2546,
0,1758722393.535810609,31,170,511.057,-384.714,2460.2,2542,
0,1758722393.555914630,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.575873167,31,170,509.047,-383.201,2450.52,2532,
0,1758722393.595860524,31,170,515.681,-388.195,2482.46,2565,
0,1758722393.615876824,31,170,512.867,-386.076,2468.91,2551,
0,1758722393.635892931,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.655878729,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.675882793,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.695882450,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.715831586,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.735778647,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.755916980,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.775877603,31,170,511.057,-384.714,2460.2,2542,
0,1758722393.795817446,31,170,514.676,-387.438,2477.62,2560,
0,1758722393.815801496,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.835912445,31,170,517.692,-389.708,2492.14,2575,
0,1758722393.855908238,31,170,511.862,-385.319,2464.07,2546,
0,1758722393.875863926,31,170,517.692,-389.708,2492.14,2575,
0,1758722393.895840851,31,170,516.687,-388.952,2487.3,2570,
0,1758722393.915844429,31,170,515.681,-388.195,2482.46,2565,
0,1758722393.935880028,31,170,511.862,-385.319,2464.07,2546,
0,1758722393.955831958,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.975912492,31,170,513.872,-386.833,2473.75,2556,
0,1758722393.995810401,31,170,514.676,-387.438,2477.62,2560,
0,1758722394.15870613,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.35853165,31,170,516.687,-388.952,2487.3,2570,
0,1758722394.55849720,31,170,511.057,-384.714,2460.2,2542,
0,1758722394.75877117,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.95845405,31,170,509.047,-383.201,2450.52,2532,
0,1758722394.115855642,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.135766911,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.155908109,31,170,514.676,-387.438,2477.62,2560,
0,1758722394.175940065,31,170,518.496,-390.314,2496.01,2579,
0,1758722394.195870199,31,170,516.687,-388.952,2487.3,2570,
0,1758722394.215872764,31,170,515.681,-388.195,2482.46,2565,
0,1758722394.235803545,31,170,515.681,-388.195,2482.46,2565,
0,1758722394.255880459,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.275954443,31,170,511.057,-384.714,2460.2,2542,
0,1758722394.295956720,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.315907144,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.335787798,31,170,511.057,-384.714,2460.2,2542,
0,1758722394.355873427,31,170,510.052,-383.957,2455.36,2537,
0,1758722394.375827408,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.395824135,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.415863309,31,170,518.496,-390.314,2496.01,2579,
0,1758722394.435916712,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.455904912,31,170,515.681,-388.195,2482.46,2565,
0,1758722394.475911691,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.495985711,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.515861080,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.535915372,31,170,514.676,-387.438,2477.62,2560,
0,1758722394.555872415,31,170,511.057,-384.714,2460.2,2542,
0,1758722394.575808242,31,170,514.676,-387.438,2477.62,2560,
0,1758722394.595837776,31,170,511.057,-384.714,2460.2,2542,
0,1758722394.615804168,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.635859930,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.655843954,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.675923061,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.695873314,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.715839267,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.735836942,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.755904080,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.775877301,31,170,511.862,-385.319,2464.07,2546,
0,1758722394.795896287,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.815787615,31,170,515.681,-388.195,2482.46,2565,
0,1758722394.835829199,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.855916580,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.875839173,31,170,512.867,-386.076,2468.91,2551,
0,1758722394.895879042,31,170,517.692,-389.708,2492.14,2575,
0,1758722394.915846590,31,170,518.496,-390.314,2496.01,2579,
0,1758722394.935873840,31,170,516.687,-388.952,2487.3,2570,
0,1758722394.955900073,31,170,508.243,-382.595,2446.65,2528,
0,1758722394.975905808,31,170,513.872,-386.833,2473.75,2556,
0,1758722394.995834079,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.15794045,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.35864058,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.55898762,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.75859547,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.95890366,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.115801030,31,170,511.862,-385.319,2464.07,2546,
0,1758722395.135823047,31,170,508.243,-382.595,2446.65,2528,
0,1758722395.155901217,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.175882080,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.195932010,31,170,517.692,-389.708,2492.14,2575,
0,1758722395.215779646,31,170,511.057,-384.714,2460.2,2542,
0,1758722395.235944568,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.255791920,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.275900590,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.296036711,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.315811001,31,170,518.496,-390.314,2496.01,2579,
0,1758722395.335815697,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.355853270,31,170,511.057,-384.714,2460.2,2542,
0,1758722395.375853589,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.396032674,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.415741071,31,170,514.676,-387.438,2477.62,2560,
0,1758722395.435812466,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.455863156,31,170,511.862,-385.319,2464.07,2546,
0,1758722395.475908308,31,170,511.862,-385.319,2464.07,2546,
0,1758722395.495950079,31,170,518.496,-390.314,2496.01,2579,
0,1758722395.515740603,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.535795052,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.555866436,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.575958056,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.596018305,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.615731871,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.635840427,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.655873820,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.675757938,31,170,519.501,-391.07,2500.85,2584,
0,1758722395.695765160,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.715721385,31,170,509.047,-383.201,2450.52,2532,
0,1758722395.735821296,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.755872700,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.775782695,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.795931887,31,170,516.687,-388.952,2487.3,2570,
0,1758722395.815717157,31,170,518.496,-390.314,2496.01,2579,
0,1758722395.835835792,31,170,517.692,-389.708,2492.14,2575,
0,1758722395.855798533,31,170,513.872,-386.833,2473.75,2556,
0,1758722395.875803426,31,170,510.052,-383.957,2455.36,2537,
0,1758722395.895909023,31,170,520.506,-391.827,2505.69,2589,
0,1758722395.915887206,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.935802882,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.955890506,31,170,512.867,-386.076,2468.91,2551,
0,1758722395.975886845,31,170,515.681,-388.195,2482.46,2565,
0,1758722395.995933034,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.15828757,31,170,512.867,-386.076,2468.91,2551,
0,1758722396.35814226,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.55909327,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.75917946,31,170,517.692,-389.708,2492.14,2575,
0,1758722396.95976208,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.115810375,31,170,514.676,-387.438,2477.62,2560,
0,1758722396.135846398,31,170,511.862,-385.319,2464.07,2546,
0,1758722396.155847470,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.175843777,31,170,511.057,-384.714,2460.2,2542,
0,1758722396.195856107,31,170,518.496,-390.314,2496.01,2579,
0,1758722396.215801426,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.235855950,31,170,514.676,-387.438,2477.62,2560,
0,1758722396.255839894,31,170,515.681,-388.195,2482.46,2565,
0,1758722396.275923903,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.295833298,31,170,511.057,-384.714,2460.2,2542,
0,1758722396.315829922,31,170,511.057,-384.714,2460.2,2542,
0,1758722396.335764805,31,170,511.057,-384.714,2460.2,2542,
0,1758722396.355902123,31,170,517.692,-389.708,2492.14,2575,
0,1758722396.375843055,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.395796219,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.415864184,31,170,515.681,-388.195,2482.46,2565,
0,1758722396.435856475,31,170,518.496,-390.314,2496.01,2579,
0,1758722396.455830947,31,170,518.496,-390.314,2496.01,2579,
0,1758722396.475898806,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.495881214,31,170,516.687,-388.952,2487.3,2570,
0,1758722396.515920446,31,170,517.692,-389.708,2492.14,2575,
0,1758722396.535843025,31,170,519.501,-391.07,2500.85,2584,
0,1758722396.555825218,31,170,518.496,-390.314,2496.01,2579,
0,1758722396.575942232,31,170,518.496,-390.314,2496.01,2579,
0,1758722396.595906820,31,170,517.692,-389.708,2492.14,2575,
0,1758722396.615849258,31,170,516.687,-388.952,2487.3,2570,
0,1758722396.635871778,31,170,520.506,-391.827,2505.69,2589,
0,1758722396.655965045,31,170,510.052,-383.957,2455.36,2537,
0,1758722396.675898512,31,170,516.687,-388.952,2487.3,2570,
0,1758722396.695862529,31,170,517.692,-389.708,2492.14,2575,
0,1758722396.715864438,31,170,515.681,-388.195,2482.46,2565,
0,1758722396.735836378,31,170,511.057,-384.714,2460.2,2542,
0,1758722396.755914278,31,170,516.687,-388.952,2487.3,2570,
0,1758722396.775851459,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.795766383,31,170,513.872,-386.833,2473.75,2556,
0,1758722396.815788729,31,170,511.862,-385.319,2464.07,2546,
0,1758722396.835880502,31,170,511.862,-385.319,2464.07,2546,
